x,y,s,kappa
0.7407,2.879,0.0,-0.03913
0.7393,2.7792,0.0998,-0.01469
0.7378,2.6793,0.1997,0.00072
0.7363,2.5795,0.2995,0.01069
0.7348,2.4797,0.3994,0.0165
0.7336,2.3798,0.4992,0.01924
0.7325,2.28,0.5991,0.01978
0.7316,2.1801,0.6989,0.01885
0.7309,2.0803,0.7988,0.01706
0.7304,1.9805,0.8986,0.01465
0.7301,1.8806,0.9984,0.01213
0.7298,1.7808,1.0983,0.00967
0.7297,1.6809,1.1981,0.00741
0.7296,1.5811,1.298,0.00542
0.7296,1.4812,1.3978,0.00375
0.7296,1.3814,1.4977,0.00239
0.7296,1.2815,1.5975,0.00133
0.7297,1.1817,1.6974,0.00055
0.7297,1.0818,1.7972,-1e-05
0.7298,0.982,1.8971,-0.00038
0.7298,0.8822,1.9969,-0.0006
0.7299,0.7823,2.0967,-0.0007
0.7299,0.6825,2.1966,-0.00072
0.7299,0.5826,2.2964,-0.00068
0.73,0.4828,2.3963,-0.00061
0.73,0.3829,2.4961,-0.00052
0.73,0.2831,2.596,-0.00042
0.73,0.1832,2.6958,-0.00032
0.73,0.0834,2.7957,-0.00024
0.73,-0.0164,2.8955,-0.00017
0.73,-0.1163,2.9953,-0.00011
0.73,-0.2161,3.0952,-7e-05
0.73,-0.316,3.195,-5e-05
0.73,-0.4158,3.2949,-5e-05
0.73,-0.5157,3.3947,-7e-05
0.73,-0.6155,3.4946,-0.0001
0.73,-0.7154,3.5944,-0.00016
0.73,-0.8152,3.6943,-0.00024
0.73,-0.915,3.7941,-0.00034
0.73,-1.0149,3.894,-0.00045
0.73,-1.1147,3.9938,-0.00057
0.73,-1.2146,4.0936,-0.0007
0.73,-1.3144,4.1935,-0.00081
0.7299,-1.4143,4.2933,-0.0009
0.7299,-1.5141,4.3932,-0.00094
0.7298,-1.614,4.493,-0.00091
0.7298,-1.7138,4.5929,-0.00076
0.7297,-1.8137,4.6927,-0.00046
0.7296,-1.9135,4.7926,4e-05
0.7296,-2.0133,4.8924,0.00079
0.7295,-2.1132,4.9922,0.00185
0.7294,-2.213,5.0921,0.00326
0.7294,-2.3129,5.1919,0.00508
0.7295,-2.4127,5.2918,0.0073
0.7296,-2.5126,5.3916,0.00993
0.7298,-2.6124,5.4915,0.0129
0.7301,-2.7123,5.5913,0.01609
0.7306,-2.8121,5.6912,0.01929
0.7313,-2.9119,5.791,0.02219
0.7322,-3.0118,5.8908,0.02437
0.7334,-3.1116,5.9907,0.02526
0.7348,-3.2115,6.0905,0.02414
0.7364,-3.3113,6.1904,0.02014
0.7383,-3.4111,6.2902,0.01221
0.7402,-3.5109,6.3901,-0.00084
0.7422,-3.6108,6.4899,-0.02042
0.7439,-3.7106,6.5898,-0.0481
0.7452,-3.8104,6.6896,-0.08571
0.7456,-3.9103,6.7895,-0.1353
0.7447,-4.0101,6.8893,-0.19914
0.7418,-4.1099,6.9891,-0.27944
0.7361,-4.2096,7.089,-0.37774
0.7267,-4.309,7.1888,-0.49346
0.7123,-4.4078,7.2886,-0.6213
0.6919,-4.5055,7.3885,-0.76429
0.6641,-4.6014,7.4883,-0.8926
0.6279,-4.6944,7.5881,-0.87228
0.5837,-4.7839,7.6879,-0.79524
0.5325,-4.8696,7.7877,-0.66592
0.4758,-4.9517,7.8875,-0.51761
